Year,Condition,Stage,F4,Decompensated_Cirrhosis,Hepatocellular_Carcinoma,Liver_Transplant,Overall_Survival,TFS_Survival,Liver_Related_Death,Nonliver_Related_Death,Background_Mortality,Nash_Resolution,All_Cause_Death
25,NASH,F0,0.12895,0.025951,0.013367,0.002131,0.440598,0.440441,0.033782,0.369323,0.189977,49366,0.593082
26,NASH,F0,0.132214,0.02655,0.013656,0.002166,0.405002,0.404882,0.034413,0.39222,0.202291,47038,0.628924
27,NASH,F0,0.135156,0.027035,0.01394,0.002205,0.36916,0.369057,0.034981,0.414772,0.21474,44551,0.664493
28,NASH,F0,0.137782,0.027489,0.014201,0.002222,0.333591,0.333518,0.035441,0.436749,0.227239,42004,0.699429
29,NASH,F0,0.140058,0.027854,0.014374,0.00224,0.298655,0.298596,0.03585,0.458082,0.2396,39314,0.733532
30,NASH,F0,0.142102,0.028102,0.014514,0.002256,0.264552,0.264507,0.036183,0.477904,0.251834,36511,0.765921
31,NASH,F0,0.143845,0.028333,0.014651,0.002265,0.232163,0.232131,0.036461,0.496579,0.263798,33653,0.796838
32,NASH,F0,0.145316,0.028524,0.01473,0.002271,0.201246,0.201228,0.036655,0.513722,0.275406,30729,0.825783
33,NASH,F0,0.146457,0.028665,0.01481,0.002275,0.172301,0.172289,0.03683,0.529249,0.286387,27809,0.852466
34,NASH,F0,0.147442,0.028772,0.014856,0.002276,0.145618,0.145613,0.036955,0.543209,0.296579,24928,0.876743
35,NASH,F0,0.148241,0.028865,0.014896,0.002276,0.121341,0.12134,0.037074,0.555533,0.305893,22147,0.8985
36,NASH,F0,0.148834,0.028935,0.014923,0.002276,0.099584,0.099584,0.037168,0.565952,0.314145,19351,0.917265
37,NASH,F0,0.14935,0.028973,0.014945,0.002276,0.080819,0.080819,0.037235,0.574747,0.321741,16851,0.933723
38,NASH,F0,0.149732,0.029007,0.014958,0.002276,0.064361,0.064361,0.037272,0.581921,0.328567,14458,0.94776
39,NASH,F0,0.149999,0.029036,0.014966,0.002276,0.050324,0.050324,0.037302,0.587649,0.334501,12095,0.959452
40,NASH,F0,0.150209,0.029048,0.014967,0.002276,0.038632,0.038632,0.03732,0.59223,0.339399,10052,0.968949
41,NASH,F0,0.150334,0.029052,0.014967,0.002276,0.029135,0.029135,0.037329,0.595682,0.343507,8195,0.976518
42,NASH,F0,0.150427,0.029052,0.014967,0.002276,0.021566,0.021566,0.037339,0.598219,0.346945,6515,0.982503
43,NASH,F0,0.150493,0.029052,0.014967,0.002276,0.015581,0.015581,0.037342,0.600085,0.349552,4984,0.986979
44,NASH,F0,0.150533,0.029052,0.014967,0.002276,0.011105,0.011105,0.037346,0.601413,0.351559,3827,0.990318
45,NASH,F0,0.150558,0.029052,0.014967,0.002276,0.007766,0.007766,0.037349,0.602329,0.353147,2888,0.992825
46,NASH,F0,0.150574,0.029052,0.014967,0.002276,0.005259,0.005259,0.037351,0.602933,0.354314,2110,0.994598
47,NASH,F0,0.150578,0.029052,0.014967,0.002276,0.003486,0.003486,0.037351,0.603334,0.355159,1505,0.995844
48,NASH,F0,0.150582,0.029052,0.014967,0.002276,0.00224,0.00224,0.037351,0.603615,0.355761,1031,0.996727
49,NASH,F0,0.150585,0.029052,0.014967,0.002276,0.001357,0.001357,0.037351,0.603779,0.356156,666,0.997286
50,NASH,F0,0.150586,0.029052,0.014967,0.002276,0.000798,0.000798,0.037351,0.603862,0.356398,417,0.997611
51,NASH,F0,0.150587,0.029052,0.014967,0.002276,0.000473,0.000473,0.037351,0.603862,0.356871,256,0.998084
